Area,Point Order,Polygon ID,Latitude,Longitude
Yishun,0.048700000,27,1.425437000,103.857981824
Yishun,0.048800000,27,1.425424306,103.858020570
Yishun,0.048900000,27,1.425415253,103.858048658
Yishun,0.049000000,27,1.425410625,103.858063016
Yishun,0.049100000,27,1.425400851,103.858084145
Yishun,0.049200000,27,1.425387896,103.858111942
Yishun,0.049300000,27,1.425379796,103.858129324
Yishun,0.049400000,27,1.425374255,103.858140596
Yishun,0.049500000,27,1.425365419,103.858154308
Yishun,0.049600000,27,1.425355168,103.858170217
Yishun,0.049700000,27,1.425343260,103.858180243
Yishun,0.049800000,27,1.425325787,103.858193418
Yishun,0.049900000,27,1.425306492,103.858202448
Yishun,0.050000000,27,1.425287849,103.858204820
Yishun,0.050100000,27,1.425275858,103.858206345
Yishun,0.050200000,27,1.425248564,103.858205857
Yishun,0.050300000,27,1.425230362,103.858205612
Yishun,0.050400000,27,1.425216409,103.858205452
Yishun,0.050500000,27,1.425206803,103.858205902
Yishun,0.050600000,27,1.425184897,103.858208665
Yishun,0.050700000,27,1.425166004,103.858235578
Yishun,0.050800000,27,1.425158609,103.858249965
Yishun,0.050900000,27,1.425141943,103.858280080
Yishun,0.051000000,27,1.425133241,103.858297016
Yishun,0.051100000,27,1.425121672,103.858332621
Yishun,0.051200000,27,1.425112701,103.858355706
Yishun,0.051300000,27,1.425109095,103.858364985
Yishun,0.051400000,27,1.425095224,103.858386577
Yishun,0.051500000,27,1.425086343,103.858400400
Yishun,0.051600000,27,1.425075122,103.858420433
Yishun,0.051700000,27,1.425068035,103.858433106
Yishun,0.051800000,27,1.425067337,103.858435706
Yishun,0.051900000,27,1.425065004,103.858447341
Yishun,0.052000000,27,1.425062359,103.858460526
Yishun,0.052100000,27,1.425060529,103.858469655
Yishun,0.052200000,27,1.425053450,103.858482765
Yishun,0.052300000,27,1.425046855,103.858494746
Yishun,0.052400000,27,1.425040228,103.858506788
Yishun,0.052500000,27,1.425035429,103.858518221
Yishun,0.052600000,27,1.425027774,103.858536898
Yishun,0.052700000,27,1.425021975,103.858551047
Yishun,0.052800000,27,1.425021057,103.858553286
Yishun,0.052900000,27,1.425016725,103.858567731
Yishun,0.053000000,27,1.425009741,103.858591678
Yishun,0.053100000,27,1.425006273,103.858603572
Yishun,0.053200000,27,1.424993705,103.858626551
Yishun,0.053300000,27,1.424984947,103.858642885
Yishun,0.053400000,27,1.424973572,103.858671173
Yishun,0.053500000,27,1.424966614,103.858688475
Yishun,0.053600000,27,1.424960059,103.858708494
Yishun,0.053700000,27,1.424952821,103.858730922
